Changed database context to 'LCCHPImport'.
table_name                                                                                                                                                                                                                                                      row_count  
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- -----------
[dbo].[ActivityLog]                                                                                                                                                                                                                                                       8
[dbo].[BloodPbResults]                                                                                                                                                                                                                                                 7739
[dbo].[ChildFamilyLink]                                                                                                                                                                                                                                                3228
[dbo].[Children]                                                                                                                                                                                                                                                       3586
[dbo].[CleanupStatus]                                                                                                                                                                                                                                                  3738
[dbo].[ConfidentialNotes]                                                                                                                                                                                                                                                 0
[dbo].[Control]                                                                                                                                                                                                                                                           1
[dbo].[EnvirPbResults]                                                                                                                                                                                                                                                23897
[dbo].[ExportControl]                                                                                                                                                                                                                                                     6
[dbo].[Families]                                                                                                                                                                                                                                                       1937
[dbo].[FamilyPropertyLink]                                                                                                                                                                                                                                             2468
[dbo].[FamilyPropertyLink_ExportErrors]                                                                                                                                                                                                                                   1
[dbo].[lkActionStatus]                                                                                                                                                                                                                                                   14
[dbo].[lkChildStatus]                                                                                                                                                                                                                                                     5
[dbo].[lkCleanupStatus]                                                                                                                                                                                                                                                  13
[dbo].[lkCondition]                                                                                                                                                                                                                                                       8
[dbo].[lkConstType]                                                                                                                                                                                                                                                       8
[dbo].[lkContactType]                                                                                                                                                                                                                                                    10
[dbo].[lkDataReview]                                                                                                                                                                                                                                                      3
[dbo].[lkDataSource]                                                                                                                                                                                                                                                     11
[dbo].[lkDescription]                                                                                                                                                                                                                                                    14
[dbo].[lkEthnicBackground]                                                                                                                                                                                                                                                5
[dbo].[lkFlag]                                                                                                                                                                                                                                                           15
[dbo].[lkFPLinkType]                                                                                                                                                                                                                                                      5
[dbo].[lkFrequency]                                                                                                                                                                                                                                                       4
[dbo].[lkHistoricContrib]                                                                                                                                                                                                                                                 7
[dbo].[lkLocation]                                                                                                                                                                                                                                                       13
[dbo].[lkMedia]                                                                                                                                                                                                                                                           5
[dbo].[lkMethod]                                                                                                                                                                                                                                                         13
[dbo].[lkObject]                                                                                                                                                                                                                                                          9
[dbo].[lkPrimLanguage]                                                                                                                                                                                                                                                    4
[dbo].[lkReleaseStatus]                                                                                                                                                                                                                                                   4
[dbo].[lkSamplePurpose]                                                                                                                                                                                                                                                   5
[dbo].[lkSampleType]                                                                                                                                                                                                                                                      7
[dbo].[lkUnits]                                                                                                                                                                                                                                                           5
[dbo].[mSys_tmpTableInfo]                                                                                                                                                                                                                                               258
[dbo].[OtherPropertyLinks]                                                                                                                                                                                                                                                0
[dbo].[Properties]                                                                                                                                                                                                                                                     5842
[dbo].[PropertiesImport]                                                                                                                                                                                                                                              10908
[dbo].[PropertyContact]                                                                                                                                                                                                                                                   0
[dbo].[Questionnaires]                                                                                                                                                                                                                                                 6844
[dbo].[SampleEvents]                                                                                                                                                                                                                                                   2841
[dbo].[SampleLocations]                                                                                                                                                                                                                                                8232
[dbo].[Samples]                                                                                                                                                                                                                                                       23809

(44 rows affected)
